id,sid,name,lastupdate,totalshare,top10total,floatshare,top10float,list,weight,firstlevel,secondlevel,note,ext1,ext2,location,valid
597,sz002129,中环股份,"2015-02-19 00:00:00",104376,59,72346,62,"750,1500,3000",1.5,电子,半导体及元件,NULL,NULL,NULL,天津市,1
610,sz002142,宁波银行,"2015-02-19 00:00:00",324958,70,287249,62,"750,1500,3000",1.5,金融服务,银行,NULL,NULL,NULL,浙江省,1
614,sz002146,荣盛发展,"2015-02-19 00:00:00",189876,70,166642,73,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,河北省,1
670,sz002202,金风科技,"2015-02-19 00:00:00",269433,53,263786,53,"750,1500,3000",1.5,机械设备,电气设备,NULL,NULL,NULL,新疆维吾尔自治区,1
671,sz002203,海亮股份,"2015-02-19 00:00:00",154797,79,146136,80,"750,1500,3000",1.5,有色金属,有色冶炼加工,NULL,NULL,NULL,浙江省,1
685,sz002217,*ST合泰,"2015-02-19 00:00:00",107853,26,26304,64,"750,1500,3000",1.5,电子,光学光电子,NULL,NULL,NULL,山东省,1
704,sz002236,大华股份,"2015-02-19 00:00:00",117053,33,66018,60,"750,1500,3000",1.5,信息设备,计算机设备,NULL,NULL,NULL,浙江省,1
709,sz002241,歌尔声学,"2015-02-19 00:00:00",152638,51,120958,59,"750,1500,3000",1.5,电子,电子制造,NULL,NULL,NULL,山东省,1
712,sz002244,滨江集团,"2015-02-19 00:00:00",135180,75,114767,79,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,浙江省,1
720,sz002252,上海莱士,"2015-02-19 00:00:00",136521,84,97916,85,"750,1500,3000",1.5,医药生物,生物制品,NULL,NULL,NULL,上海市,1
733,sz002266,浙富控股,"2015-02-19 00:00:00",152169,11,101732,36,"750,1500,3000",1.5,机械设备,电气设备,NULL,NULL,NULL,浙江省,1
734,sz002267,陕天然气,"2015-02-19 00:00:00",101670,83,99727,83,"750,1500,3000",1.5,公用事业,燃气水务,NULL,NULL,NULL,陕西省,1
736,sz002269,美邦服饰,"2015-02-19 00:00:00",101097,76,100490,76,"750,1500,3000",1.5,纺织服装,服装家纺,NULL,NULL,NULL,上海市,1
771,sz002304,洋河股份,"2015-02-19 00:00:00",107639,80,87928,82,"750,1500,3000",1.5,食品饮料,饮料制造,NULL,NULL,NULL,江苏省,1
777,sz002310,东方园林,"2015-02-19 00:00:00",100378,41,45253,67,"750,1500,3000",1.5,建筑材料,建筑装饰,NULL,NULL,NULL,北京市,1
778,sz002311,海大集团,"2015-02-19 00:00:00",106985,77,100089,73,"750,1500,3000",1.5,农林牧渔,农产品加工,NULL,NULL,NULL,广东省,1
811,sz002344,海宁皮城,"2015-02-19 00:00:00",112012,71,109970,70,"750,1500,3000",1.5,商业贸易,零售,NULL,NULL,NULL,浙江省,1
852,sz002385,大北农,"2015-02-19 00:00:00",164726,35,94151,60,"750,1500,3000",1.5,农林牧渔,农产品加工,NULL,NULL,NULL,北京市,1
882,sz002415,海康威视,"2015-02-19 00:00:00",401740,69,315054,75,"750,1500,3000",1.5,信息设备,计算机设备,NULL,NULL,NULL,浙江省,1
896,sz002429,兆驰股份,"2015-02-19 00:00:00",160198,77,158162,76,"750,1500,3000",1.5,家用电器,视听器材,NULL,NULL,NULL,广东省,1
911,sz002444,巨星科技,"2015-02-19 00:00:00",101409,63,87452,67,"750,1500,3000",1.5,机械设备,通用设备,NULL,NULL,NULL,浙江省,1
923,sz002456,欧菲光,"2015-02-19 00:00:00",103049,41,72063,51,"750,1500,3000",1.5,电子,光学光电子,NULL,NULL,NULL,广东省,1
